Version, File Name, NR, NAuth, Loc Added, Avg Loc Added, Max Loc Added, Churn, Avg Churn, Max Churn, Chg Set Size, Avg Chg Set, Max Chg Set, Buggy
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollowerZooKeeperServer.java,3.0,1.0,14.0,4.6666665,7.0,2.0,0.6666667,2.0,278.0,92.666664,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java,2.0,1.0,11.0,5.5,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeaderZooKeeperServer.java,3.0,1.0,14.0,4.6666665,7.0,2.0,0.6666667,2.0,278.0,92.666664,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableQuorumPeer.java,6.0,3.0,59.0,9.833333,23.0,8.0,1.3333334,9.0,344.0,57.333332,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ConnectionObserver.java,2.0,1.0,9.0,4.5,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/util/DataTreeObserver.java,2.0,1.0,10.0,5.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/util/EventInfo.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ObservableComponent.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ObserverManager.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/util/QuorumPeerObserver.java,2.0,1.0,11.0,5.5,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ServerObserver.java,2.0,1.0,9.0,4.5,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/server/util/ZooKeeperObserverManager.java,2.0,1.0,12.0,6.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java,2.0,1.0,10.0,5.0,8.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/main/org/apache/zookeeper/server/quorum/FollowerSyncRequest.java,2.0,1.0,34.0,17.0,18.0,34.0,17.0,18.0,19.0,9.5,19.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,4.0,2.0,16.0,4.0,8.0,-1.0,-0.25,2.0,316.0,79.0,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,4.0,3.0,16.0,4.0,7.0,3.0,0.75,2.0,316.0,79.0,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,3.0,2.0,35.0,11.666667,23.0,22.0,7.3333335,20.0,261.0,87.0,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,3.0,2.0,15.0,5.0,7.0,7.0,2.3333333,5.0,261.0,87.0,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java,3.0,1.0,9.0,3.0,7.0,2.0,0.6666667,2.0,247.0,82.333336,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,2.0,1.0,9.0,4.5,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java,2.0,1.0,9.0,4.5,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,2.0,1.0,9.0,4.5,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumBean.java,2.0,1.0,10.0,5.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerBean.java,2.0,1.0,10.0,5.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerMXBean.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerBean.java,2.0,1.0,9.0,4.5,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerMXBean.java,2.0,1.0,8.0,4.0,7.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/CommonNames.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/MBeanRegistry.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/ZKMBeanInfo.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/ConnectionBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/ConnectionMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/DataTreeBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/DataTreeMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/FollowerBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/FollowerMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/LeaderBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/QuorumBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/RemotePeerBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/RemotePeerMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,src/java/jmx/com/apache/zookeeper/jmx/server/quorum/ServerBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
