Version, File Name, NR, NAuth, Loc Added, Avg Loc Added, Max Loc Added, Churn, Avg Churn, Max Churn, Chg Set Size, Avg Chg Set, Max Chg Set, Buggy
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,3.0,2.0,77.0,25.666666,73.0,74.0,24.666666,73.0,306.0,102.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,3.0,3.0,86.0,28.666666,82.0,83.0,27.666666,82.0,468.0,156.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,1.0,1.0,74.0,74.0,74.0,0.0,0.0,74.0,206.0,206.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,2.0,2.0,50.0,25.0,48.0,48.0,24.0,48.0,233.0,116.5,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,2.0,2.0,61.0,30.5,60.0,60.0,30.0,60.0,376.0,188.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,4.0,4.0,94.0,23.5,70.0,86.0,21.5,70.0,415.0,103.75,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,7.0,3.0,455.0,65.0,241.0,355.0,50.714287,180.0,540.0,77.14286,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,1.0,1.0,53.0,53.0,53.0,0.0,0.0,53.0,206.0,206.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,8.0,4.0,657.0,82.125,450.0,612.0,76.5,450.0,528.0,66.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,1.0,1.0,39.0,39.0,39.0,0.0,0.0,39.0,206.0,206.0,206.0,NO
